path	sentence	set
common_voice_en_37793715.mp3	Base bleed can reduce this drag without extending the base of the shell.	train
common_voice_en_37465556.mp3	He is also the cousin of point guard Tony Wroten.	train
common_voice_en_37912522.mp3	This project was never carried out.	train
common_voice_en_37306046.mp3	It is the primary road route to central Melbourne from Melbourne's southern suburbs.	train
common_voice_en_37570670.mp3	Membership is open to all people who have flown in outer space.	train
common_voice_en_37846519.mp3	He grew up a shy boy and learned to work hard from early age.	train
common_voice_en_37935374.mp3	After the Olympics, it was reduced to one level.	train
common_voice_en_37387590.mp3	Italic capitals with a slope were introduced in the sixteenth century.	train
common_voice_en_37886946.mp3	When a cockroach moults, it will appear pure white except for the eyes.	train
common_voice_en_37888925.mp3	The series was well-received when originally broadcast.	train
common_voice_en_37498088.mp3	Faisal's custody was awarded to his father, Tahir.	train
common_voice_en_37289824.mp3	Nevertheless, Stravinsky was a master of learned classical tradition and worked within its bounds.	train
common_voice_en_37599370.mp3	Historically, the Vice Chairman has served two terms.	train
common_voice_en_37972792.mp3	Senator Trent Lott.	train
common_voice_en_37376374.mp3	As a result, they reacted by becoming fierce proponents of Orthodoxy.	train
common_voice_en_37499088.mp3	This building housed classes for all students above the third grade.	train
common_voice_en_37883415.mp3	The cause was believed to be a fault in its air conditioning unit.	train
common_voice_en_37539274.mp3	In general, lower levels of enzyme activity correlate with more severe symptoms.	train
common_voice_en_37860918.mp3	Major landmarks include Bodiam and Camber Castles; and Battle Abbey.	train
common_voice_en_37880751.mp3	Others of this class were built to contractor designs.	train
common_voice_en_37770727.mp3	The series was shot on location within California.	train
common_voice_en_37469802.mp3	The galley is located amidships on the starboard side.	train
common_voice_en_37957742.mp3	Goodbye Harry put out two albums.	train
common_voice_en_37420439.mp3	In economic issues, it is generally liberal, but it defends a social market economy.	train
common_voice_en_37343469.mp3	Michael Lent's research focuses on location and the intersection between space and place.	train
common_voice_en_37288118.mp3	"Researchers describe the mandible as being ""very robust""."	train
common_voice_en_37881664.mp3	The further details of his life are not recorded.	train
common_voice_en_37306427.mp3	Alligators have been seen in the river's lower reaches.	train
common_voice_en_37467933.mp3	Crypts in the cervix are also stimulated to produce fertile cervical mucus.	train
common_voice_en_37939090.mp3	He went to Jesuit High School.	train
common_voice_en_37575646.mp3	Fishes that swim in the lakes are migratory salmon and trout.	train
common_voice_en_37679396.mp3	McLeod's injury would later prove to be a huge blow to Adelaide's premiership chances.	train
common_voice_en_37647558.mp3	Many similar patterns have been tried and played in modern games.	train
common_voice_en_37349552.mp3	Allomyrina dichotoma shows a striking sexual dimorphism.	train
common_voice_en_37531268.mp3	Hugo never provides his given name but says Gavroche has chosen his own name.	train
common_voice_en_37344444.mp3	He also wrote a few commercial jingles for Frontier Airlines.	train
common_voice_en_37615819.mp3	She left her copyrights and unsold works to the Immaculate Heart College Community.	train
common_voice_en_37891057.mp3	It was so soft so as to pass through a finger ring.	train
common_voice_en_37570222.mp3	Nearby the magical lake is fed by water from the cavern.	train
common_voice_en_37558660.mp3	The Mojave Pipeline enters the region at the northern Arizona and California border.	train
common_voice_en_37515321.mp3	Radiation therapy can precede or follow surgical treatment.	train
common_voice_en_37289737.mp3	In later years, the company diversified.	train
common_voice_en_38017939.mp3	Members are elected on a provincial basis and serve for five years.	train
common_voice_en_37666114.mp3	Burr performed live on the radio while broadcasting technology was still in its infancy.	train
common_voice_en_37881605.mp3	River Landing is divided into two phases.	train
common_voice_en_37306368.mp3	"He declared war on Constantine, vowing to avenge his father's ""murder""."	train
common_voice_en_37569868.mp3	Most supervolcano calderas of explosive origin are slightly ovoid or oblong in shape.	train
common_voice_en_37767817.mp3	The boxing gym is open to all and located in Ellis Street.	train
common_voice_en_37368335.mp3	"Therefore, the use of the term ""community edition"" remains very disputable."	train
common_voice_en_37289633.mp3	The original German text remains unpublished.	train
common_voice_en_37829555.mp3	It is open for business every Friday.	train
common_voice_en_37887050.mp3	However it can be faster and less expensive than non-volatile memory.	train
common_voice_en_37305992.mp3	The teleplay was written by Stewart Stern based on the story by Joseph Conrad.	train
common_voice_en_37647451.mp3	This was refused as Somaliland was considered rather dangerous.	train
common_voice_en_37598186.mp3	Jolivet's aesthetic ideals underwent many changes throughout his career.	train
common_voice_en_37863097.mp3	Belmont High School offers many fine and performing arts courses.	train
common_voice_en_37550330.mp3	It should push its inquiries into new fields of research.	train
common_voice_en_37774851.mp3	Details from a number of these drawings were featured on the volume covers.	train
common_voice_en_37457238.mp3	Eight Arab nations and Indonesia competed in the first Arab Games tournament.	train
common_voice_en_37892806.mp3	This is a form of a homograph attack.	train
common_voice_en_38014681.mp3	Males search for females by letting out high-pitched squeals and tunneling through foreign areas.	train
common_voice_en_37886879.mp3	At times, Robinson was a stay-at-home dad.	train
common_voice_en_37288254.mp3	Some of their cover songs were praised by the original artists themselves.	train
common_voice_en_37285757.mp3	His father died before he graduated and he returned to Tasmania.	train
common_voice_en_37290039.mp3	Nobody writes tens of thousands of lines of code in one sitting.	train
common_voice_en_37569942.mp3	It can be done on either inside or outside edges.	train
common_voice_en_37387571.mp3	A small portion of the wreckage not removed from the crash site remains visible.	train
common_voice_en_37863137.mp3	See Vishnu with his four arms and they correspond to these.	train
common_voice_en_37306207.mp3	Camp Bird and Thistledown are communities placed southwest of Ouray on Camp Bird Road.	train
common_voice_en_37484605.mp3	It is very closely related to the rule of inference modus tollens.	train
common_voice_en_37550295.mp3	Every fourth celebration was distinguished by a higher degree of solemnity.	train
common_voice_en_37913520.mp3	The two will meet in court next year.	train
common_voice_en_37288131.mp3	Snipes feed mainly on insect larva.	train
common_voice_en_37901788.mp3	Then he helped her on with her coat.	train
common_voice_en_37570266.mp3	The old gods were reinstated in their rank and privileges.	train
common_voice_en_37569898.mp3	It does not apply to Gurkhas in the Nepalese Army.	train
common_voice_en_37306357.mp3	Technicians installed safeguards against additional damage.	train
common_voice_en_37539147.mp3	"Though popularly considered a ""Celtic"" symbol, it is in fact a pre-Celtic symbol."	train
common_voice_en_37822710.mp3	He encountered this year the Dalai Lama during inter-religious peace encounters.	train
common_voice_en_37465495.mp3	Two groups of settlers came from Stratford.	train
common_voice_en_37478130.mp3	Gregorio Quintana and Jorge Redondo were credited as executive producers.	train
common_voice_en_37289528.mp3	The temperament of a papillon is a happy, friendly, adventurous dog.	train
common_voice_en_37539179.mp3	The contents of the exchanges are often dependent on cultural norms.	train
common_voice_en_37954507.mp3	The film was the result of the collaborative process.	train
common_voice_en_37912684.mp3	Members of the academy are kept secret.	train
common_voice_en_37469772.mp3	It is northwest of Belfast, and halfway between the towns of Ballyclare and Antrim.	train
common_voice_en_37987679.mp3	Jessica Billey supplied violins.	train
common_voice_en_37647477.mp3	The modifications were made by Retia.	train
common_voice_en_37420434.mp3	Winners are highlighted in bold.	train
common_voice_en_37829509.mp3	In the Roman Catholic Church, Meath is still a separate diocese.	train
common_voice_en_37396546.mp3	Contrary to primary stress, Finnish secondary stress is quantity sensitive.	train
common_voice_en_37377135.mp3	The child was carried to a priest to be solemnly named by him.	train
common_voice_en_37647328.mp3	Hanif lives in Kensington.	train
common_voice_en_37306173.mp3	He won a scholarship to The Perse School in Cambridge.	train
common_voice_en_37599249.mp3	He is a member of the Songwriters Hall of Fame.	train
common_voice_en_37942677.mp3	Further details on long works.	train
common_voice_en_37939239.mp3	Mainly the Open and Veteran category are played.	train
common_voice_en_37343509.mp3	A fully charged brake pipe is typically for freight trains and for passenger trains.	train
common_voice_en_37927646.mp3	Was foul play involved, or did he fake his own disappearance?	train
common_voice_en_37939110.mp3	The first release is Leonard Tan's first album.	train
common_voice_en_37795846.mp3	Painting style gradually shifted from academic towards impressionism.	train
common_voice_en_37890657.mp3	He was also the ancestor of Fred Holland Day.	train
common_voice_en_37387462.mp3	Huber's wife begged him to use his influence to help her husband.	train
common_voice_en_37483337.mp3	He received a state sponsored funeral.	train
common_voice_en_37478230.mp3	"She was named ""Best Setter"" at the conclusion of the tournament."	train
common_voice_en_37599345.mp3	The building was designed by Robert Bellamy Clifton.	train
common_voice_en_37289450.mp3	"Many of the best-known jazz artists have performed ""Saint Louis Blues""."	train
common_voice_en_37523880.mp3	He was the chief scientist on board the Glomar Challenger.	train
common_voice_en_37883434.mp3	It does not protect against gases and in particular nitrogen oxide.	train
common_voice_en_37888937.mp3	For security reasons, the museum is not open for casual visitors.	train
common_voice_en_37569990.mp3	The couple have four children and seven grandchildren.	train
common_voice_en_37976423.mp3	Abbreviations may be used for either element.	train
common_voice_en_37387416.mp3	The runners have up-curved fore edges, straight aft edges, and rounded lower edges.	train
common_voice_en_37570126.mp3	At this interview, the king's mother was present to see her son.	train
common_voice_en_37948932.mp3	Many community members will attend high school sports on a regular basis.	train
common_voice_en_37306179.mp3	They are, however, usually served on rusk to celebrate the birth of a child.	train
common_voice_en_37306448.mp3	The process may have been accelerated by Hambledon's innings victory over Surrey in September.	train
common_voice_en_38017985.mp3	The Budget Repair bill later passed.	train
common_voice_en_37465299.mp3	It is named for the French novelist Marcel Proust.	train
common_voice_en_37942595.mp3	There are two basic types of controllers, electric and hydraulic.	train
common_voice_en_37886859.mp3	During the final year of his life, he wrote to Kamila almost every day.	train
common_voice_en_37357438.mp3	Kartik started out in the junior system at Delhi.	train
common_voice_en_37359143.mp3	It was the first attempt to assassinate a President.	train
common_voice_en_37683169.mp3	Each section is led by a Head of Section.	train
common_voice_en_37505886.mp3	He attended a local King Zygmunt August gymnasium.	train
common_voice_en_37869484.mp3	His parents moved to Stevens Point, Wisconsin when he was a child.	train
common_voice_en_37599422.mp3	The first comprises four tracks used in the film in certain scenes.	train
common_voice_en_37506037.mp3	This silence creates a frame around the piece and has spiritual significance.	train
common_voice_en_37950143.mp3	Somalis have old visual art traditions, which include pottery, jewelry and wood carving.	train
common_voice_en_37478131.mp3	The love of his life is Lucy Brandon.	train
common_voice_en_37289887.mp3	Carl learned to play the cornet, as a child, to combat asthma.	train
common_voice_en_37306228.mp3	Shot the same day.	train
common_voice_en_37599798.mp3	The first phase saw the building of the primary tower.	train
common_voice_en_37935709.mp3	It is also known as Mount Austin, and locally as The Peak.	train
common_voice_en_37289592.mp3	"The novel ""Ride the Pink Horse"" was written in the noir fiction style."	train
common_voice_en_37420431.mp3	The Deep River flows nearby; it is a minor tributary of the English River.	train
common_voice_en_37856806.mp3	Despite this, it became very popular and pirated editions were widely distributed.	train
common_voice_en_37846481.mp3	Hestefan accepts, and they leave to continue travelling through Dalemark.	train
common_voice_en_37829495.mp3	The current Member of the Legislative Assembly is Jackson Lafferty.	train
common_voice_en_37920137.mp3	These compounds originate from host plants.	train
common_voice_en_37598301.mp3	The Dutch Republic also found the slave trade to be very not profitable.	train
common_voice_en_37870466.mp3	All the cubic distance-regular graphs are known.	train
common_voice_en_37425515.mp3	Four later died.	train
common_voice_en_37570627.mp3	Behind him walked a young woman bearing an infant in a loose girdle.	train
common_voice_en_37305976.mp3	This is what Scary Kids is all about to this day.	train
common_voice_en_37679403.mp3	Reduction in arthropod species in Puerto Rican forests threatens their predators.	train
common_voice_en_37289254.mp3	"The Buffalo News described the album as ""a fierce assault of instruments and vocals""."	train
common_voice_en_37942457.mp3	None of his compositions was printed.	train
common_voice_en_37856691.mp3	It also may increase risk of sulfonylurea-induced hypoglycemia.	train
common_voice_en_37908095.mp3	I delivered Catherine’s message.	train
common_voice_en_37947541.mp3	There he meets other gulls who love to fly.	train
common_voice_en_37420369.mp3	With both mines unionized, the area is considered a strong base of labour support.	train
common_voice_en_37289093.mp3	He had two brothers, John Beverley and William Benjamin, and two sisters.	train
common_voice_en_37505924.mp3	This likely explains why the marsh is still largely untouched.	train
common_voice_en_37812783.mp3	In the following year he defeated Walter Fitzwiz.	train
common_voice_en_37934919.mp3	The damage was limited, and no one was injured.	train
common_voice_en_37306461.mp3	Block I is the main area for visits.	train
common_voice_en_37539203.mp3	Award-winning screen composer and filmmaker Milton Trott grew up in Blackwood.	train
common_voice_en_38023454.mp3	Years later, the same fisherman was brought before Kamehameha.	train
common_voice_en_37619331.mp3	Before ascending into the mountains, it passes alongside Emigrant Reservoir.	train
common_voice_en_37934079.mp3	Today he is considered a pioneer of space travel.	train
common_voice_en_37372129.mp3	Most of his career was spent in sports car racing.	train
common_voice_en_37345867.mp3	In Scotland it refers to corporate entities whose legality is peculiar to Scotland.	train
common_voice_en_37811332.mp3	Henderson was born in Richmond, Virginia and attended Virginia Commonwealth University.	train
common_voice_en_37943411.mp3	Every seaside resort has them.	train
common_voice_en_37940921.mp3	Coal for the mine machinery travelled in the opposite direction.	train
common_voice_en_37285765.mp3	Now it's maintained by Ecopistas, but is a toll road.	train
common_voice_en_37809750.mp3	He was considered the fourth-ranking member of the government.	train
common_voice_en_37289661.mp3	That season Winnipeg won the Allan Cup as senior hockey champions of Canada.	train
common_voice_en_37285756.mp3	The children are kept tied until the corpse is out of sight.	train
common_voice_en_37376152.mp3	Mrs. Odom sent a note to Carl Lyons about the incident.	train
common_voice_en_38005506.mp3	However, pay-to-play models exist as well.	train
common_voice_en_37767819.mp3	Proofs of all these statements may be found in the book by Isaac Chavel.	train
common_voice_en_37619326.mp3	Examples include silicon and germanium.	train
common_voice_en_37932503.mp3	He studied in the University of Athens.	train
common_voice_en_37306015.mp3	The closest crater of comparable dimensions is Lambert to the west.	train
common_voice_en_37951784.mp3	It is needless.	train
common_voice_en_37888918.mp3	His surviving son Erik did not have children.	train
common_voice_en_37991297.mp3	The first season received positive reviews from many critics.	train
common_voice_en_37556502.mp3	They share the love of praise and flattery with many gods of higher rank.	train
common_voice_en_37376189.mp3	He also popularised the Crumar Performer on the early records.	train
common_voice_en_37599268.mp3	Intel claims Alder Lake will have their best performance per watt.	train
common_voice_en_37306214.mp3	These patients can have devastating bleeding.	train
common_voice_en_37539277.mp3	The results of expanding to Southern markets has been mixed.	train
common_voice_en_37940704.mp3	Cover art features a picture of Ballew's infant son, Augie Ballew, at the piano.	train
common_voice_en_37306030.mp3	She never cried.	train
common_voice_en_37289851.mp3	The filming was primarily held at Pollachi.	train
common_voice_en_37647410.mp3	It is a subset of flow control methods called Flit-Buffer Flow Control.	train
common_voice_en_37289639.mp3	All cars are no smoking.	train
common_voice_en_37489770.mp3	Severe erosion occurs along the banks.	train
common_voice_en_38004936.mp3	It is also shown that they're both lovers.	train
common_voice_en_37870533.mp3	Sterling, a misspelling which was retained.	train
common_voice_en_37967312.mp3	Cody became one of his most famous Pony Express riders.	train
common_voice_en_37531671.mp3	The estate is a tourist attraction.	train
common_voice_en_37376199.mp3	The rain passes through colder air near the surface and supercools.	train
common_voice_en_37289475.mp3	The station is from Stortinget and submerged below sea level.	train
common_voice_en_37438872.mp3	He was an accomplished violinist.	train
common_voice_en_37647795.mp3	Animats are artificial animals, a contraction of animal-materials.	train
common_voice_en_38005198.mp3	Their knees were bandaged, their hands gloved, for protection.	train
common_voice_en_37870528.mp3	Both are diocesan bishops possessing ordinary jurisdiction over their individual sees.	train
common_voice_en_37465491.mp3	Examples of these models can be found in the Protein Data Bank.	train
common_voice_en_37357348.mp3	Paley sat the exam with Amy Bulley.	train
common_voice_en_37622670.mp3	An example of the latter is the Magellanic Stream.	train
common_voice_en_37420379.mp3	Buell Island in his hometown of Lowell is named after him.	train
common_voice_en_37306497.mp3	"It features the dance club hit ""When You Made The Mountain""."	train
common_voice_en_37945325.mp3	The township contains three cemeteries.	train
common_voice_en_37732647.mp3	Its pioneering and marginal character inspired the appearance of other similar bands.	train
common_voice_en_37569934.mp3	The monarch received thereby a fresh accession of vital energy.	train
common_voice_en_37954498.mp3	At sexual maturity, males average and females near Japan.	train
common_voice_en_37289680.mp3	The Creek wanted to deal with the 'head man'.	train
common_voice_en_37575689.mp3	While at the University of Nebraska he joined The Delta Upsilon Fraternity.	train
common_voice_en_37489039.mp3	"She collaborated with Moby on his song ""Drown Disco"" which remains unreleased."	train
common_voice_en_37528305.mp3	In Boscobel, Wisconsin he worked as a farmhand and as a tailor.	train
common_voice_en_37539766.mp3	He attended the Defence Services Staff College at Wellington.	train
common_voice_en_37506672.mp3	However, the evidence above would appear to negate this.	train
common_voice_en_37926368.mp3	A year later, Corporal Carter resigned from the department.	train
common_voice_en_37357263.mp3	This is the eighth year of this format.	train
common_voice_en_37934014.mp3	William was coming on Christmas Eve.	train
common_voice_en_37643234.mp3	The award was presented to him by Paul Martin.	train
common_voice_en_37521664.mp3	They married in ceremonies in Torres Novas and in Coimbra.	train
common_voice_en_37550357.mp3	For example, the twin-chamber pulsometer steam pump was a successful development of it.	train
common_voice_en_37598065.mp3	It is likened to the 'engine-room' of creation.	train
common_voice_en_37913013.mp3	The construction is of simple welded stamped sheet steel.	train
common_voice_en_37489791.mp3	His tutor was David Bogue of Gosport.	train
common_voice_en_37289526.mp3	Eliminating a bad politician makes sense.	train
common_voice_en_38011446.mp3	It was originally called Plum Creek.	train
common_voice_en_37576435.mp3	McGriff returned to racing after not racing for around ten years.	train
common_voice_en_37489014.mp3	Less popular sports are mainly participant sports, for example hunting.	train
common_voice_en_37306216.mp3	At the midpoint appear several small hills producing a central peak formation.	train
common_voice_en_37983972.mp3	The following is the full list of the inscriptions on the thirteen bells.	train
common_voice_en_37306113.mp3	The changes were small, but effective.	train
common_voice_en_37598122.mp3	Patrol planes were numerous at night, precluding recharging.	train
common_voice_en_37981644.mp3	The first nation to win the competition was Argentina.	train
common_voice_en_37972995.mp3	Dispensers vary widely based on the tape they dispense.	train
common_voice_en_37643262.mp3	At Saint Brendan's he came in contact with Doctor Robert Collis, a noted author.	train
common_voice_en_37289689.mp3	It was the first public secondary school in South Australia.	train
common_voice_en_37465572.mp3	The city limits extend north into Henry County and northwest into Dale County.	train
common_voice_en_37931300.mp3	Long-term gratification seems even more meaningless.	train
common_voice_en_37531595.mp3	It is the only factory of Hindustan Unilever in Madhya Pradesh.	train
common_voice_en_37883235.mp3	He also believed this was true for the many immigrants to the United States.	train
common_voice_en_37306390.mp3	It is also accumulates in eggplant and pepper plants.	train
common_voice_en_37807124.mp3	She was a castaway on the Pagong tribe.	train
common_voice_en_37812769.mp3	He must know how to make rain and drive away the locusts.	train
common_voice_en_37856900.mp3	It marked the first overseas deployment of the Imperial Japanese Army and Navy.	train
common_voice_en_37945465.mp3	This provided the framework for the orderly development of future growth.	train
common_voice_en_37359184.mp3	The storyline is essentially the same in both cartoons.	train
common_voice_en_37900200.mp3	Hot water is poured in and drips directly into the cup.	train
common_voice_en_37900384.mp3	This was the starting point of a fabulous treasure hunt.	train
common_voice_en_37367151.mp3	The Mayor of Stovall is Janet C. Parrott.	train
common_voice_en_37570194.mp3	Coatbridge is represented by three tiers of elected government.	train
common_voice_en_37802403.mp3	If you need anything, give me a call.	train
common_voice_en_37376159.mp3	The herb may also have cartilage protective effects.	train
common_voice_en_37811152.mp3	Part of disused cars were sold to other cities in Japan.	train
common_voice_en_37420346.mp3	The car was built by Ferdinant Anderheggen, who later worked for Konings.	train
common_voice_en_37539701.mp3	As part of the process cofferdams were built upstream and downstream.	train
common_voice_en_37622683.mp3	Only a few of the eating clubs remained open during this time.	train
common_voice_en_37499099.mp3	Less commonly seen are large skipper, green-veined white and green hairstreak.	train
common_voice_en_37829764.mp3	Although highly respected as an architect, not much is known about her personal life.	train
common_voice_en_37531634.mp3	"He is introduced in ""The Silmarillion"" as the first of the Dragons."	train
common_voice_en_37303668.mp3	In Canada, similar credentialing and advanced training exists.	train
common_voice_en_37622637.mp3	It occasionally comes to light.	train
common_voice_en_37890810.mp3	The site is free to use, requiring only registration.	train
common_voice_en_37306016.mp3	"In Pittsburgh, Isaly outlets were converted to the ""Sweet William"" brand."	train
common_voice_en_37931280.mp3	He has missed nine days.	train
common_voice_en_37570354.mp3	I express to you my sincerest condolences.	train
common_voice_en_37890640.mp3	"She cemented her status as ""the Queen of Telenovelas""."	train
common_voice_en_37376252.mp3	The Washington School was the last to remain opened.	train
common_voice_en_37942783.mp3	The plant is very disease resistant.	train
common_voice_en_37474466.mp3	Leadership was acquired by warriors or hunters.	train
common_voice_en_37995738.mp3	The red zones would remain under lockdown.	train
common_voice_en_37886002.mp3	Sometimes, two or more people can come up with the same idea independently.	train
common_voice_en_37988251.mp3	He held posts in its ministries.	train
common_voice_en_37288161.mp3	He was not marked by any identifiable marker showing that he was a combatant.	train
common_voice_en_37306516.mp3	Its main base was Saipan International Airport.	train
common_voice_en_37892779.mp3	No longer included in the Olympic program.	train
common_voice_en_37997468.mp3	A description of David's job cutting stone into clocks in the shape of Oregon.	train
common_voice_en_37980434.mp3	Nevertheless, the end result was the same.	train
common_voice_en_37376201.mp3	This was the first Diaporama exhibition staged in Europe.	train
common_voice_en_37289364.mp3	Tom's back at the mission.	train
common_voice_en_37289885.mp3	The entrances were moved and a new one was built.	train
common_voice_en_37303669.mp3	The island is rock fringed with its highest point at its northern extremity.	train
common_voice_en_37306319.mp3	She is also a Perl programmer.	train
common_voice_en_37410941.mp3	The novel benefitted from unprecedented publicity and quickly became a best-seller.	train
common_voice_en_37913092.mp3	At any rate chance had given him a breathing space.	train
